"Thai","Vietnamese","POS_Tags_Thai"
"ꪋꪲ꫁ꪫ ꪵꪠꪚ ꪵꪀ꪿ ꪮ꫁ꪱꪥ","chịu phép ông anh","cxđ. t. d."
"ꪋꪲ꫁ꪫ ꪮꪳꪒ ꪹꪄꪱ꫁","chịu nhịn đói","cxđ. d."
"ꪄꪳ꫁ꪙ ꪼꪣ꫁ ꪵꪕ꫁ ꪋꪲ꫁ꪫ ꪎꪺ","trèo cây thì chịu thua","cxđ. d. cxđ. cxđ."
"ꪊꪨꪷ ꪵꪊꪨ ꪀꪾꪚ ꪠꪴ꫁ ꪻꪐ꪿","cợt nhợt với người lớn","cxđ. d. cxđ. đg."
"ꪤꪳꪙ ꪶꪊꪨ꪿ ꪤꪴ꪿ ꪔ꪿ꪮꪙ ꪘ꫁ꪱ","đứng lù lù trước mặt","đg. cxđ. p. cxđ."
"ꪙꪾ꫁ ꪼꪨ ꪮꪮꪀ ꪋꪩꪴꪙ ꪋꪩꪴꪙ","nước chảy ra phùn phụt","đg. cxđ. đg. cxđ."
"ꪙꪾ꫁ ꪼꪨ ꪮꪮꪀ ꪊꪨꪺꪀ ꪊꪨꪺꪀ","nước chảy ra òng ọc","đg. cxđ. đg. cxđ."
"ꪹꪭꪙ ꪤ꫁ꪱꪫ ꪋꪣꪮꪣ ꪵꪋꪣꪣ","nhà cửa lụp xụp","cxđ. cxđ."
"ꪶꪁꪙ ꪵꪩ꪿ꪙ ꪋꪣꪺ ꪋꪣꪺ","người chạy loạn xạ","d. cxđ. cxđ."
"ꪙꪰ꪿ꪉ ꪶꪕꪉ꫁ꪀ ꪤꪴ꪿ ꪔ꪿ꪮꪙ ꪘ꫁ꪱ","ngồi chồm chỗm trước mặt","cxđ. UNK p. cxđ."
"ꪮꪱ ꪙꪱꪉ ꪹꪥꪸꪒ ꪶꪋꪉ꫁ꪀ ꪏ꪿ꪱ ꪤꪴ꪿","cô nàng ra vẻ tự kiêu","đ. d. cxđ. cxđ. p."
"ꪊꪷ ꪬ꫁ꪱ ꪬꪺ ꪙꪲ꫁ꪫ ꪣꪳ","chụm năm đầu ngón tay","cxđ. cxđ. d. cxđ. t."
"ꪊꪷ ꪀꪽ ꪠꪲꪉ ꪼꪡ","tụm nhau sửa lửa","cxđ. d. cxđ. d."
"ꪊꪷ ꪵꪊ ꪀꪽ ꪵꪩ ꪚ꪿ꪱꪫ","túm nhau xem báo","cxđ. d. cxđ. d."
"ꪔꪴ꪿ꪣ ꪘ꫁ꪱ ꪀꪽ ꪶꪎ ꪛꪱꪙ","túm tụm nhau bàn bạc","cxđ. đg. d. cxđ."
"ꪊꪷ ꪼꪡ ꪶꪔ꫁ꪣ ꪙꪾ꫁","chụm nếp đun nước","cxđ. d. đg."
"ꪊꪷ꪿ ꪚꪮꪀ","trổ hoa; đâm hoa","cxđ. đg."
"ꪼꪀ꪿ ꪙ꫁ꪮꪥ ꪬꪲ꪿ꪉ ꪊꪷ꪿ ꪶꪄꪙ","gà con mới mọc lông","d. d. cxđ. cxđ. d."
"ꪀꪷ ꪁꪱꪥ ꪊꪷ꪿ ꪻꪚ","cây đào đâm chồi","d. d. cxđ."
"ꪀꪷ ꪣ꫁ꪽ ꪊꪷ꪿ ꪢꪱꪀ","cây mận kết quả","d. cxđ. cxđ."
"ꪢꪱꪀ ꪹꪒ꪿ ꪮꪮꪀ ꪋꪷ꪿ ꪼꪣ꫁","quả sung mọc chi chít","cxđ. đg. cxđ. d."
"ꪋꪷ꫁ ꪹꪥꪸꪒ ꪼꪈ","cần làm ngay","cxđ. cxđ. cxđ."
"ꪄꪲ꪿ ꪋꪷ꫁ ꪵꪋ꫁","đi cà kheo","đg. cxđ."
"ꪋꪷ꫁ ꪹꪋꪷ ꪮꪳꪒ ꪤꪱꪀ","phải khi đói kém","cxđ. cxđ."
"ꪋꪷ꫁ ꪒ꪿ꪱꪉ ꪎꪷ ꪠꪲꪒ","đáng lẽ xin lỗi","cxđ. cxđ."
"ꪋꪷ꫁ ꪶꪕ꫁ꪥ ꪀꪲꪙ ꪹꪀꪚ","phải tội ăn cướp","cxđ. d. đg."
"ꪖ꫁ꪺꪥ ꪶꪀ꫁ꪙ ꪊꪮꪥ","bát đáy choi trôn","d. d."
"ꪢꪴ ꪠꪮꪣ ꪶꪀ꫁ꪙ ꪊꪮꪥ","lợn gầy mong móp","d. cxđ. d."
"ꪊ꪿ꪮꪥ ꪹꪜꪸꪒ ꪙ꫁ꪮꪥ ꪣꪱ ꪹꪭꪙ","kêu vịt con về nhà","cxđ. cxđ. d. đg. d."
"ꪋ꪿ꪮꪥ ꪀꪽ ꪹꪥꪸꪒ ꪫꪸꪀ","giúp nhau làm việc","cxđ. d. cxđ."
"ꪋ꪿ꪮꪥ ꪹꪤ ꪹꪋꪷ ꪥꪱꪀ ꪋꪱ","giúp đỡ nhau lúc khó khăn","cxđ. t. cxđ."
"* ꪋ꪿ꪮꪥ ꪝꪰꪀ ꪋ꪿ꪮꪥ ꪵꪭꪉ","giúp công giúp sức","SYM cxđ. cxđ. cxđ."
"ꪹꪚꪙ ꪋ꫁ꪮꪥ","trăng tà; trăng xế","d. t."
"ꪵꪭꪉ ꪋ꫁ꪮꪥ","sức tàn","d. t."
"ꪵꪄꪀ ꪋ꫁ꪮꪥ ꪋ꫁ꪮꪥ","kêu choai choái","đg. cxđ."
"ꪎꪳ꪿ ꪀꪲꪙ ꪋ꫁ꪮꪥ ꪋ꫁ꪮꪥ","vòi ăn kèo kẹo","cxđ. d. cxđ."
"ꪊꪮꪀ ꪭꪴ ꪬꪴ","móc lỗ tai","cxđ. cxđ. d."
"ꪊꪮꪀ ꪔꪱ","khoét mắt","cxđ. d."
"ꪊꪮꪀ ꪼꪎ꫁ ꪮꪮꪀ","moi ruột ra","cxđ. cxđ. đg."
"ꪋꪮꪀ ꪹꪉꪷꪙ","đẽo tiền","cxđ. đg."
"ꪋꪮꪀ ꪼꪭ꪿ ꪊꪲ꪿ ꪼꪢ꫁ ꪜ꪿ꪱ","đốt nương sẽ cháy rừng","cxđ. cxđ. cxđ. cxđ. d."
"ꪊꪮꪣ ꪀꪴꪚ","chóp nón","cxđ. d."
"ꪊꪮꪣ ꪒ꪿ꪱꪙ","mỏm đá","cxđ. cxđ."
"ꪔ꫁ꪮꪉ ꪊꪮꪣ ꪔꪷ","vấp phải đầu cọc","cxđ. cxđ. cxđ."
"ꪊꪮꪣ ꪼꪣ꫁ ꪹꪕꪱ꫁","đốc cây","cxđ. cxđ."
"ꪊꪮꪣ ꪻꪊ ꪨ꫁ꪱ ꪐ꪿ꪮꪥ","tấm lòng em thương","cxđ. cxđ."
"ꪊꪴꪉ ꪶꪬ꪿ꪉ ꪊꪮꪣ ꪹꪝꪱ","tưởng nhớ thân sinh","cxđ. cxđ."
"ꪊ꪿ꪮꪣ ꪹꪚꪷ꪿ꪉ ꪁ꪿ꪱ ꪁꪮꪙ","dò hỏi xem giá kả","cxđ. đg. d."
"ꪕ꪿ꪮꪉ ꪙꪾ꫁ ꪼꪜ ꪊ꫁ꪮꪣ ꪊ꫁ꪮꪣ","lội nước đi bì bõm","cxđ. đg. cxđ. cxđ."
"ꪒꪾ ꪙꪾ꫁ ꪊ꫁ꪮꪣ ꪊ꫁ꪮꪣ","lặn hì hụp","d. đg. cxđ."
"ꪋ꫁ꪮꪣ ꪬꪲ꪿ꪉ ꪼꪜ ꪭꪮꪚ ꪣꪱ","vừa mới đi họp về","cxđ. cxđ. cxđ. cxđ. đg."
"ꪋ꫁ꪮꪣ ꪹꪥꪸꪒ","làm đoạn","cxđ. cxđ."
"ꪋ꫁ꪮꪣ ꪵꪩ꫁ꪫ ꪑꪰꪉ ꪹꪬꪸꪙ","mới đây mới thấy","cxđ. cxđ. đg."
"ꪊꪮꪙ ꪒꪰꪉ","đầu mũi","cxđ. d."
"ꪊꪮꪙ ꪊꪷ ꪝꪴ","dòi núi","cxđ. cxđ."
"ꪁ꪿ꪱ ꪊ꪿ꪮꪙ","giá hời","đg. cxđ."
"ꪵꪭ꫁ꪫ ꪊ꪿ꪮꪙ ꪝꪮꪙ","bẫy chồn","cxđ. cxđ."
"ꪋꪮꪙ ꪹꪄꪱ꫁ ꪝꪱꪙ","chui vào gầm bàn","cxđ. d. d."
"ꪶꪙ꫁ꪀ ꪋꪮꪙ ꪋꪮꪀ ꪀꪺꪉ ꪕꪴꪣ ꪐ꫁ꪱ","chim chui lòn trong bụi cây","cxđ. cxđ. d. cxđ. d."
"ꪋꪮꪙ ꪹꪋ ꪀꪺꪉ ꪜ꪿ꪱ","chui luồn trong rừng","cxđ. d. d."
"ꪹꪮꪱ ꪵꪝ꫁ꪙ ꪋ꫁ꪮꪙ ꪎꪺꪙ","dùng xẻng rẫy cỏ vườn","đg. cxđ. cxđ. cxđ."
"ꪋ꫁ꪮꪙ ꪀꪮꪉ ꪐꪲ꪿ꪉ ꪹꪐ꫁","xúc đống rác; hót đống rác","cxđ. t. cxđ."
"ꪹꪮꪱ ꪎꪱ ꪋ꫁ꪮꪙ ꪜꪱ","dùng vợt để vợt cá","đg. cxđ. cxđ. đg."
"ꪄꪲ꪿ ꪋ꫁ꪮꪙ ꪋꪱ","chơi đu","đg. cxđ."
"ꪋ꫁ꪮꪙ ꪹꪩꪀ ꪹꪕ꪿ ꪶꪁꪙ","chọn lọc từng người","cxđ. cxđ. d."
"ꪊꪮꪉ ꪔꪰꪀ ꪵꪀꪉ","muôi múc canh","cxđ. cxđ. đg."
"* ꪮ꪿ꪱꪉ ꪕꪮꪉ ꪀꪾꪚ ꪊꪮꪉ ꪝ꫁ꪱꪫ","thau đồng với gáo dừa; cơm trắng với chả chim","SYM UNK cxđ. d. cxđ. cxđ."
"ꪊꪮꪉ ꪵꪓꪙ","chong đèn","cxđ. cxđ."
"ꪩ꫁ꪺ ꪒ꪿ꪮꪙ ꪊꪮꪉ ꪡꪮꪉ","lụa trắng nuột","cxđ. d. cxđ."
"ꪊ꪿ꪮꪉ ꪉ꪿ꪱ ꪼꪣ꫁","níu cành cây","cxđ. cxđ. d."
"ꪊ꪿ꪮꪉ ꪵꪮꪚ","cố học","cxđ. cxđ."
"ꪮꪮꪀ ꪵꪭꪉ ꪊ꪿ꪮꪉ ꪁꪾ꫁","ra sức chống đỡ","cxđ. cxđ."
"ꪊ꪿ꪮꪉ ꪁꪾ꫁ ꪻꪬ꫁ ꪵꪩ꫁ꪫ ꪫꪸꪀ","gắng gượng cho xong việc","cxđ. cxđ. cxđ. d."
"ꪊ꪿ꪮꪉ ꪹꪋꪱ ꪵꪮꪚ ꪭ꫁ꪮꪀ","gắng công học tập","cxđ. cxđ."
"ꪬꪱꪚ ꪹꪄꪱ꫁ ꪘꪰꪀ ꪊ꪿ꪮꪉ ꪼꪊ","vất vả với gánh thóc nặng","d. d. d. t. cxđ."
"ꪊ꪿ꪮꪉ ꪋꪷ ꪎꪸ꪿ ꪙ꫁ꪮꪉ","cố gắng địu em","cxđ. cxđ. d."
"ꪊ꪿ꪮꪉ ꪄ꫁ꪽ ꪫꪸꪀ ꪹꪭꪙ","cố lo liệu việc nhà","cxđ. d. d."
"ꪙꪰ꪿ꪉ ꪋꪮꪉ","nằm chõng","cxđ. cxđ."
"ꪶꪨ꪿ꪣ ꪋ꪿ꪮꪉ","sa chân vào lỗ sàn","cxđ. cxđ."
"ꪵꪄꪀ ꪩꪴꪀ ꪋ꪿ꪮꪉ ꪋ꪿ꪮꪉ","gọi con ời ời","đg. cxđ. cxđ."
"ꪋ꫁ꪮꪉ ꪹꪮꪱ ꪔꪲꪙ","quàng lấy chân; quành lấy chân","cxđ. đg. đg."
"* ꪋ꫁ꪮꪉ ꪹꪥꪸꪒ ꪋ꫁ꪮꪉ ꪀꪲꪙ","chăm làm chăm ăn","SYM cxđ. cxđ. cxđ. d."
"ꪋ꫁ꪮꪉ ꪎꪰꪀ ꪵꪮꪚ ꪭꪸꪙ","chăm chỉ học tập","cxđ. cxđ."
"ꪊꪮꪚ ꪼꪭ꪿","cuốc nương","cxđ. cxđ."
"ꪜꪱꪀ ꪊꪮꪚ ꪊꪮꪚ","nói sàn sạt","đg. cxđ."
"ꪋꪮꪚ ꪣꪳ","vừa tay","cxđ. t."
"ꪹꪎ꫁ ꪙꪴ꪿ꪉ ꪋꪮꪚ","áo mặc khít","d. cxđ. cxđ."
"ꪹꪚꪱ꪿ ꪋꪮꪚ ꪻꪊ ꪠꪴ꫁ ꪋ꪿ꪱꪉ ꪼꪭ","không vừa lòng người khó tính","cxđ. cxđ. cxđ. cxđ."
"ꪋꪮꪚ ꪹꪋꪷ꪿ꪉ ꪔꪱ","vừa tầm mắt","cxđ. d."
"ꪎꪮꪉ ꪶꪁꪙ ꪋꪮꪚ ꪹꪋꪷ꪿ꪉ ꪀꪽ","hai người vừa đôi","đg. d. cxđ. d."
"ꪜꪱꪀ ꪹꪫꪱ꫁ ꪋꪮꪚ ꪵꪣ꪿ꪙ","ăn nói vừa phải","cxđ. cxđ."
"ꪵꪚ꪿ꪙ ꪋꪮꪚ ꪵꪣ꪿ꪙ ꪚꪸ","bắn bia chính xác","đg. cxđ. d."
"ꪵꪁ꫁ꪫ ꪋꪮꪒ ꪋꪮꪒ","nhai rau ráu","đg. cxđ."
"ꪶꪊ꫁ ꪁꪫꪱꪥ","họ trâu","cxđ. d."
"ꪕꪾꪚ ꪀꪽ ꪶꪋ꫁ ꪙꪳ꪿ꪉ","đánh nhau một mẻ; đánh nhau một trận","cxđ. d. cxđ. .cxđ"
"* ꪶꪊ꪿ꪀ ꪹꪀꪱ꫁ ꪶꪊ꪿ꪀ ꪬꪺ","gãi đầu gãi tai","SYM cxđ. cxđ. cxđ. d."
"* ꪶꪊ꪿ꪀ ꪘ꫁ꪱ ꪶꪊ꪿ꪀ ꪔꪱ","cào mặt cào mũi","SYM cxđ. đg. cxđ. d."
"ꪶꪋ꫁ꪀ ꪔꪾ ꪹꪄꪱ꫁","cối giã gạo","cxđ. cxđ. d."
"ꪶꪊꪀ ꪋ꪿ꪺꪉ ꪹꪀ","ống to đựng muối","cxđ. đg. d."
"ꪘꪴ ꪶꪊꪀ ꪶꪝ꫁ꪥ ꪹꪄꪱ꫁","chuột khoét bồ thóc","cxđ. cxđ. cxđ. d."
"ꪶꪊꪣ ꪶꪩꪉ ꪙꪾ꫁","chìm xuống nước","cxđ. cxđ. đg."
"ꪶꪔ ꪬꪽ ꪶꪊꪣ ꪹꪭꪸ꪿ꪉ","chắc thịt nặng cân","t. cxđ. cxđ. cxđ."
"ꪙꪰ꪿ꪉ ꪶꪊꪣ ꪶꪚ꪿ ꪘꪰ꫁ꪉ ꪹꪡꪥ ꪹꪭꪙ","ngồi tư lự ở hiên nhà","cxđ. cxđ. cxđ. cxđ. d."
"ꪙꪱꪉ ꪙꪱꪒ ꪶꪊꪣ ꪻꪊ","công nương lặng lẽ","cxđ. cxđ."
"ꪼꪣ꫁ ꪶꪊꪣ ꪡꪴ ꪘꪰ꫁ꪉ ꪘ꫁ꪱ ꪙꪾ꫁","cây bập bềnh trên nước","d. cxđ. cxđ. đg. đg."
"ꪹꪭ ꪶꪊꪣ ꪡꪴ","thuyền chìm nổi","cxđ. cxđ."
"ꪀꪺꪙ ꪹꪭꪙ ꪶꪊꪣ ꪜꪲ꪿ꪙ","trong nhà im ắng","d. d. cxđ."
"ꪚꪰ꫁ꪉ ꪹꪭ ꪶꪊꪣ ꪜꪲ꫁ꪙ","chiếc thuyền chìm nghỉm","d. cxđ. cxđ."
"ꪶꪊ꪿ꪣ ꪻꪬ꫁ ꪹꪎꪱ꪿","oán người ta","cxđ. cxđ. cxđ."
"ꪶꪊ꪿ꪣ ꪻꪬ꫁ ꪩꪴꪀ","phàn nà, về con, kêu về con","cxđ. cxđ. cxđ."
"ꪶꪊ꪿ꪣ ꪶꪚꪣ ꪶꪚꪣ ꪻꪬ꫁ ꪩꪴꪀ ꪠꪺ","oán thán chồng con","cxđ. cxđ. cxđ."
"ꪶꪊ꪿ꪣ ꪋꪱꪉ ꪻꪬ꫁ ꪝꪲ꪿ ꪙ꫁ꪮꪉ","ca thán anh em; kêy ca anh em","cxđ. cxđ. cxđ."
"ꪶꪊ꪿ꪣ ꪢꪱꪉ ꪵꪠꪙ ꪮ꪿ꪱꪀ ꪭ꫁ꪱꪥ","oán hận bọn tàn ác","cxđ. cxđ. t."
"ꪏꪸꪒ ꪙ꫁ꪮꪥ ꪙꪳ꪿ꪉ ꪶꪊ꪿ꪣ ꪜꪳ ꪜꪳ","thiệt một tí ca cẩm","cxđ. d. .cxđ cxđ."
"ꪶꪋꪣ ꪜꪲ ꪻꪢ꪿","mừng năm mới","cxđ. d. d."
"ꪶꪋꪣ ꪩꪴꪀ","nựng con; âu yếm con","cxđ. cxđ."
"ꪶꪙ꫁ꪀ ꪶꪋꪣ ꪚꪮꪀ","chim giờn hoa","cxđ. cxđ. đg."
"ꪶꪋꪣ ꪹꪣꪷꪉ ꪜꪲ ꪻꪢ꪿","chúc mừng năm mới","cxđ. d. d."
"ꪶꪋꪣ ꪔ꫁ꪮꪙ ꪎꪺꪙ ꪻꪢ꪿","mừng đón xuân mới","cxđ. cxđ. d."
"ꪶꪋꪣ ꪔ꫁ꪮꪙ ꪵꪮꪉ ꪭꪴꪉ","đón rước anh hùng","cxđ. UNK cxđ."
"ꪶꪊ꪿ꪙ ꪄꪮꪉ","ối của","cxđ. d."
"ꪶꪊ꪿ꪙ ꪫꪸꪀ","bộn việc","cxđ. d."
"ꪢꪱꪀ ꪵꪣꪉ ꪶꪊ꪿ꪙ ꪀꪮꪉ","hoa quả đầy dẫy","cxđ. cxđ."
"ꪘ꫁ꪱ ꪫꪸꪀ ꪶꪊ꪿ꪙ ꪀꪮꪉ","công việc bộn bề","cxđ. cxđ."
"ꪼꪀ꪿ ꪶꪀ꫁ꪙ ꪶꪊ꫁ꪙ","gà cộc đuôi","d. đg. cxđ."
"ꪎꪮꪉ ꪩꪾ ꪹꪎꪱ ꪶꪋꪙ ꪀꪽ","hai cột chồng lên nhau","đg. cxđ. cxđ. cxđ. d."
"ꪼꪣ꫁ ꪶꪩ꫁ꪣ ꪶꪋꪙ ꪹꪁꪸ","cây đổ chồng chéo","d. cxđ. cxđ."
"ꪄ꫁ꪱꪣ ꪀꪱꪥ ꪶꪊꪉ ꪵꪀ꪿ꪫ","vượt qua sống núi","đg. t. cxđ."
"ꪒ꪿ꪮꪙ ꪶꪊꪉ ꪶꪡꪉ","trắng phau phau","d. cxđ."
"* ꪹꪄꪱ꫁ ꪶꪋ꪿ꪉ ꪹꪩꪱ ꪣꪱꪙ","lúa trỗ bông thì lau lên đòng","SYM d. cxđ. đg. cxđ."
"ꪜꪱꪀ ꪶꪋ꫁ꪉ ꪶꪋ꫁ꪉ","nói choang choang","đg. cxđ."
"ꪁꪽ ꪶꪊꪚ","kán cuốc","d. cxđ."
"ꪶꪊꪚ ꪎꪺꪙ","cuốc vườn","cxđ. cxđ."
"ꪶꪋꪚ ꪙꪳ꪿ꪉ","một chốc; một lát","cxđ. .cxđ"
"ꪶꪄꪚ ꪶꪋꪚ ꪶꪋꪚ","nhai chộp chộp","d. cxđ."
"ꪶꪋꪚ ꪤꪰꪀ ꪭꪮꪒ ꪹꪭꪙ","chốc lát đến nhà","cxđ. .ctxđ d."
"ꪵꪩ꪿ꪙ ꪶꪋꪚ ꪤꪰꪀ ꪭꪮꪒ ꪚ꪿ꪮꪙ","chạy một chặp tới nơi","cxđ. cxđ. .ctxđ d."
"ꪹꪭꪙ ꪔꪰ꫁ꪉ ꪶꪊꪒ ꪼꪜ","nhà dựng san sát","d. đg. cxđ. cxđ."
"ꪹꪄꪱ꫁ ꪼꪭ꪿ ꪶꪊꪒ ꪼꪜ","lúa nương bạt ngàn","d. cxđ. cxđ. cxđ."
"ꪜꪰꪀ ꪶꪋꪒ ꪻꪎ꪿ ꪒꪲꪙ","cắm phập vào đất","cxđ. cxđ. cxđ. d."
"ꪶꪝ꫁ꪥ ꪹꪊꪷ꪿ ꪹꪄꪱ꫁","bồ chứa thóc","cxđ. cxđ. d."
"ꪹꪊꪸꪒ ꪹꪋꪷ ꪔꪳ꪿ꪙ ꪹꪋꪱ꫁","bảy giờ sáng","cxđ. t. cxđ."
"ꪹꪋꪷ ꪼꪀ꪿ ꪄꪽ","lúc gà gáy","t. d."
"* ꪹꪋꪷ ꪢꪺꪙ ꪎꪰꪉ ꪁꪷ꫁ ꪣ꪿ꪺꪙ","khi vui cái gì cũng vui; khi vui non nước cũng vui","SYM t. UNK p. p. cxđ."
"ꪵꪣ꪿ꪙ ꪹꪋꪷ ꪒꪲ","đúng dịp tốt","p. t. d."
"ꪹꪋꪷ ꪀ꪿ꪮꪙ ꪙ꫁ꪮꪥ ꪶꪁꪙ","khi trước ít người","cxđ. d. d."
"ꪹꪋꪷ ꪻꪒ ꪊꪰ꪿ꪉ ꪵꪩ꫁ꪫ","bao giờ mới xong","cxđ. cxđ. cxđ."
"ꪹꪋꪷ ꪼꪅ꫁ ꪐ꪿ꪱ ꪩꪱꪒ","lúc này tan chợ","cxđ. cxđ. đg."
"ꪝꪷ꫁ ꪹꪋꪷ ꪼꪢ","gặp dịp may","cxđ. cxđ."
"ꪹꪋꪷ ꪙ꫁ꪽ ꪒꪱꪉ ꪵꪮꪚ","bấy giờ đang học","cxđ. cxđ. cxđ."
"* ꪹꪋꪷ ꪹꪜꪸꪙ ꪹꪬꪸꪙ ꪹꪀꪱ꫁ ꪪ꫁ꪱ","khi nên thấy chín dòng họ; đến khi đỗ trạng chín nghìn anh em","SYM cxđ. đg. cxđ. cxđ."
"ꪹꪊꪷ꪿ꪣ ꪖꪲ","chấm thi","cxđ. cxđ."
"ꪹꪋꪷ꫁ꪣ ꪹꪋꪷ","chậm giờ; trễ giờ","cxđ. t."
"ꪙꪰ꪿ꪉ ꪻꪬ꫁ ꪣꪽ ꪹꪋꪷ꪿ꪉ","ngồi cho cân","cxđ. cxđ. d. d."
"ꪜꪽ ꪤꪱꪥ ꪹꪋꪷ꪿ꪉ ꪝꪸꪉ","phân phối công bằng","cxđ. cxđ."
"ꪠꪮꪉ ꪹꪋꪷ꪿ꪉ ꪔꪱ","đong ước lượng","cxđ. cxđ."
"ꪬꪱꪚ ꪨꪺ ꪹꪋꪷ꪿ꪉ ꪕꪷ꪿","gánh củi cân đối","d. cxđ. cxđ."
"ꪝꪰꪀ ꪵꪭꪉ ꪹꪋꪷ꪿ꪉ ꪕꪷ꪿ ꪀꪽ","cân bằng sức lực","cxđ. cxđ. d."
"* ꪑꪱ ꪹꪊꪷꪚ ꪑꪱ ꪊ꪿ꪱꪣ","chớ chấp chớ nhặt","SYM d. cxđ. d. d."
"ꪹꪊꪷꪚ ꪙꪾ ꪩꪺꪉ ꪕꪱꪉ","chấp hành chính sách; thi hành chính sách","cxđ. cxđ."
"ꪹꪊꪷꪚ ꪶꪘ꪿ꪥ ꪘ꫁ꪱ ꪫꪸꪀ","tiếp nối công việc","cxđ. cxđ."
"ꪬꪱꪚ ꪘꪰꪀ ꪨꪱꪥ ꪹꪋꪷꪚ ꪣꪷ꪿","gánh nắng quá nhược người","d. d. t. cxđ. cxđ."
"ꪝ꫁ꪮꪣ ꪀꪽ ꪹꪊꪷꪒ ꪹꪣꪉ","cùng nhau cứu nước","cxđ. d. cxđ. d."
"ꪋꪱꪉ ꪤꪴ꪿ ꪊꪴ ꪻꪒ?","chàn ở nơi nào","cxđ. p. cxđ. UNK"
"ꪶꪎꪚ ꪊꪴ꪿","giảu môi; chù môi","đg. d."
"ꪚꪮꪀ ꪊꪴ꪿ ꪼꪄ","hoa hé nở","d. đg."
"ꪼꪀ꪿ ꪋꪴ ꪒꪸꪫ","gà cùng lứa","d. cxđ. p."
"ꪼꪜ ꪔ꪿ꪱꪉ ꪎꪮꪉ ꪋꪴ","đi thồ hai lượt","cxđ. cxđ. đg. cxđ."
"ꪹꪮꪱ ꪪꪱꪥ ꪋꪴ ꪚꪴꪉ","dùng mây chằng cái dậu","đg. cxđ. cxđ. d."
"ꪋꪴ꪿ ꪶꪁꪙ","mọi người","cxđ. d."
"ꪵꪣ꪿ ꪋꪴ꫁","bà tình nhân","d. đg."
"ꪹꪎꪱ ꪹꪚ ꪊꪺ","rốn lồi","cxđ. đg. cxđ."
"ꪋꪺ ꪼꪀ꪿","làm thịt gà","d. d."
"ꪹꪝ꫁ ꪹꪄꪱ꫁ ꪋꪺ ꪹꪭꪙ ꪙꪳ꪿ꪉ","bữa cơm một gia đình","cxđ. d. cxđ. .cxđ"
"ꪋ꪿ꪺ ꪶꪁꪙ","đời người","t. d."
"ꪚ꪿ꪽ ꪼꪣ꫁ ꪹꪥꪸꪒ ꪎꪱꪣ ꪋ꪿ꪺ","chặt cây làm ba đoạn","UNK d. cxđ. cxđ. t."
"ꪋ꪿ꪺ ꪫ꪿ꪱ ꪏꪲꪙ ꪁꪷ꫁ ꪼꪐ","mới nói thế đã cáu","t. t. cxđ. p. cxđ."
"ꪋ꪿ꪺ ꪻꪒ ꪣꪽ ꪡꪰꪉ","đời nào nó nghe","cxđ. d. t."
"ꪋ꪿ꪺ ꪼꪅ꫁ ꪹꪬꪸꪙ ꪨꪱꪀ","đời nay thấy khác","cxđ. đg. cxđ."
"ꪚꪲꪙ ꪀꪺꪉ ꪝꪾꪚ ꪔꪱ","bay trong chớp nhoáng","đg. d. cxđ. d."
"ꪊꪴ꪿ꪀ ꪜꪱ","gói cá","cxđ. đg."
"ꪬꪷ꪿ ꪊꪴ꪿ꪀ","gói buộc túm","cxđ. cxđ."
"ꪶꪎꪚ ꪊꪴ꪿ꪀ","chảu mồm","đg. cxđ."
"ꪊꪴ꪿ꪀ ꪹꪨꪱ꫁","chúc rượu","cxđ. cxđ."
"ꪋꪴ꫁ꪀ ꪚꪴꪒ ꪙꪳ꪿ꪉ","một chục cái bút","cxđ. d. .cxđ"
"ꪋꪴ꫁ꪀ ꪒꪮꪙ ꪠꪰꪀ","xới luống rau","cxđ. d. d."
"ꪋꪴ꫁ꪀ ꪼꪣ꫁ ꪹꪎꪱ ꪹꪭꪙ","trục cột nhà","cxđ. d. cxđ. d."
"ꪋꪴ꫁ꪀ ꪋ꪿ꪱꪫ ꪒꪮꪙ ꪣꪽ ꪶꪈ","đào bới luống khoai","cxđ. cxđ. d. cxđ."
"ꪋꪴ꫁ꪀ ꪵꪓꪙ ꪶꪁꪉ","bón đèn bão","cxđ. d."
"ꪙꪰ꪿ꪉ ꪊꪴꪀ ꪀꪽ","ngồi san sát nhau","cxđ. cxđ. d."
"ꪊꪴꪀ ꪵꪀ꫁ꪣ","áp má","cxđ. t."
"ꪙꪮꪙ ꪊꪴꪀ ꪬꪺ","nằm châu đầu","cxđ. cxđ. d."
"ꪎꪮꪉ ꪹꪊꪱ꫁ ꪊꪴꪀ ꪻꪎ꪿ ꪀꪽ","hai họ tính gộp vào với nhau","đg. cxđ. cxđ. cxđ. d."
"ꪝꪰꪀ ꪵꪭꪉ ꪤꪱꪙ ꪙꪲ꫁ ꪁꪷ꫁ ꪊꪴꪀ ꪊꪱꪀ","sức khỏe dào này cũng tàm tạm","cxđ. cxđ. d. p. cxđ."
"ꪶꪔ꪿ꪀ ꪊꪴ꪿ꪣ ꪻꪎ꪿ ꪙꪾ꫁","rơi tũm xuống nước","cxđ. cxđ. cxđ. đg."
"ꪄꪽ ꪊꪴ꪿ꪣ ꪙꪾ꫁","khăn nhúng nước","d. cxđ. đg."
"ꪔꪴ꪿ꪀ ꪊꪴ꫁ꪣ ꪘꪰ꫁ꪉ ꪘꪮꪉ","cất vó ở ao","cxđ. cxđ. cxđ. cxđ."
